instance,n,k,w,p,z,seed,time_sec,memory_kb,d_reg_empirical,d_reg_theoretical,d_reg_final,gb_size,has_solution,solution_verified,status
n4_k2_w4_z7_p127_s0.json,4,2,4,127,7,0,0.010439872741699219,1500,19,9,1,4,True,True,ok
n4_k2_w4_z7_p127_s1.json,4,2,4,127,7,1,0.010203361511230469,0,15,9,1,4,True,True,ok
n4_k2_w4_z7_p127_s2.json,4,2,4,127,7,2,0.009640932083129883,0,14,9,1,4,True,True,ok
n4_k2_w4_z7_p127_s3.json,4,2,4,127,7,3,0.01047825813293457,128,14,9,2,4,True,True,ok
n4_k2_w4_z7_p127_s4.json,4,2,4,127,7,4,0.01016378402709961,0,14,9,1,4,True,True,ok
n6_k3_w6_z7_p127_s0.json,6,3,6,127,7,0,0.203643798828125,640,16,11,1,6,True,True,ok
n6_k3_w6_z7_p127_s1.json,6,3,6,127,7,1,0.14882206916809082,128,16,11,1,6,True,True,ok
n6_k3_w6_z7_p127_s2.json,6,3,6,127,7,2,0.210296630859375,0,16,11,1,6,True,True,ok
n6_k3_w6_z7_p127_s3.json,6,3,6,127,7,3,0.18064165115356445,128,16,11,1,6,True,True,ok
n6_k3_w6_z7_p127_s4.json,6,3,6,127,7,4,0.20644330978393555,0,16,11,1,6,True,True,ok
